,discount,order_priority,profit,quantity,sales,segment_Corporate,ship_mode_Second Class,ship_mode_Standard Class,shipping_cost,weeknum,year
0,0.0,High,9.3312,3,19,0.0,1.0,0.0,4.37,2,2011
1,0.0,Medium,9.2928,2,19,0.0,0.0,1.0,0.94,4,2011
2,0.0,Medium,9.8418,3,21,0.0,0.0,1.0,1.81,32,2011
3,0.0,Medium,53.2608,2,111,0.0,0.0,1.0,4.59,32,2011
4,0.0,High,3.1104,1,6,0.0,0.0,1.0,1.32,40,2011
5,0.0,Critical,6.5856,3,13,0.0,0.0,0.0,2.39,43,2011
6,0.0,Medium,9.3312,3,19,0.0,0.0,1.0,1.15,45,2011
7,0.0,High,5.8604,2,12,0.0,0.0,1.0,0.92,46,2011
8,0.0,High,24.219,9,54,0.0,0.0,1.0,6.98,48,2011
9,0.0,Medium,23.0864,4,49,0.0,0.0,1.0,1.99,50,2011
10,0.0,High,41.5104,6,90,0.0,1.0,0.0,8.53,51,2011
11,0.0,High,6.2208,2,13,0.0,0.0,1.0,1.14,9,2011
12,0.0,Medium,26.6304,1,55,1.0,0.0,1.0,2.28,15,2011
13,0.0,Medium,9.3312,3,19,1.0,0.0,1.0,2.11,15,2011
14,0.0,Medium,3.84,2,8,1.0,0.0,1.0,0.15,20,2011
15,0.0,High,3.1752,1,6,0.0,1.0,0.0,0.79,31,2011
16,0.0,High,12.4416,4,26,1.0,0.0,1.0,3.11,35,2011
17,0.0,High,30.4278,13,65,1.0,0.0,1.0,6.72,45,2011
18,0.0,Medium,9.63,5,21,0.0,0.0,1.0,0.92,45,2011
19,0.0,High,55.764,4,124,0.0,1.0,0.0,27.69,46,2011
20,0.0,High,18.447,3,71,1.0,1.0,0.0,8.74,15,2011
21,0.0,High,3.5475,5,11,0.0,0.0,1.0,1.79,17,2011
22,0.0,High,3.8048,4,13,0.0,0.0,1.0,0.6,17,2011
23,0.0,High,6.206,5,21,0.0,0.0,1.0,3.37,18,2011
24,0.0,Medium,30.2232,6,108,0.0,0.0,1.0,10.88,19,2011
25,0.0,Medium,1.9656,4,7,0.0,0.0,1.0,0.49,24,2011
26,0.0,High,4.7916,3,15,1.0,0.0,1.0,2.33,25,2011
27,0.0,Medium,10.368,5,32,1.0,1.0,0.0,1.53,27,2011
28,0.0,Medium,6.4944,6,20,0.0,0.0,1.0,1.37,30,2011
29,0.0,High,3.717,3,12,1.0,0.0,1.0,1.78,45,2011
30,0.0,Critical,3.36,4,7,0.0,0.0,0.0,1.6,45,2011
31,0.0,Low,7.9248,3,30,0.0,0.0,1.0,4.02,46,2011
32,0.0,Medium,2.604,3,7,0.0,0.0,1.0,0.62,48,2011
33,0.0,Medium,11.907,9,26,0.0,0.0,1.0,1.45,50,2011
34,0.0,Medium,2.4192,3,9,0.0,0.0,0.0,0.71,50,2011
35,0.0,High,12.298,2,47,0.0,1.0,0.0,6.7,52,2011
36,0.0,High,1.1564,1,4,0.0,1.0,0.0,0.68,52,2011
37,0.0,High,85.904,2,330,0.0,1.0,0.0,34.62,13,2011
38,0.0,Critical,31.0184,2,107,0.0,0.0,0.0,20.75,16,2011
39,0.0,High,4.5008,4,16,0.0,1.0,0.0,0.86,31,2011
40,0.0,Medium,0.0,2,276,1.0,1.0,0.0,32.27,31,2011
41,0.0,High,38.178,5,141,1.0,0.0,0.0,14.96,44,2011
42,0.0,High,14.4222,2,481,1.0,0.0,0.0,21.55,44,2011
43,0.0,High,0.0628,2,6,1.0,0.0,0.0,1.41,44,2011
44,0.0,High,2.0228,2,8,0.0,1.0,0.0,0.92,46,2011
45,0.0,Medium,5.3196,2,20,0.0,0.0,0.0,5.13,47,2011
46,0.0,Critical,10.3473,3,345,1.0,0.0,0.0,89.84,47,2011
47,0.0,Critical,10.4832,3,22,0.0,0.0,0.0,2.9,48,2011
48,0.0,High,72.5754,6,250,0.0,0.0,0.0,36.78,50,2011
49,0.0,Critical,327.9458,7,1261,1.0,0.0,0.0,506.49,50,2011
50,0.0,Medium,8.7945,5,23,1.0,0.0,0.0,2.33,52,2011
51,0.0,Medium,6.8714,2,15,1.0,0.0,0.0,1.2,52,2011
52,0.0,High,5.4332,4,12,0.0,1.0,0.0,1.06,53,2011
53,0.0,High,3.6022,2,12,0.0,0.0,1.0,0.96,17,2011
54,0.0,High,5.796,2,13,0.0,0.0,1.0,1.8,18,2011
55,0.0,High,1.4112,1,3,0.0,0.0,1.0,0.47,28,2011
56,0.0,High,4.0664,4,24,0.0,0.0,1.0,1.7,28,2011
57,0.0,High,44.955,9,250,0.0,0.0,1.0,52.56,29,2011
58,0.0,High,13.1868,4,49,1.0,0.0,1.0,3.81,35,2011
59,0.0,High,2.8776,4,9,0.0,0.0,1.0,1.29,40,2011
60,0.0,High,16.7886,1,62,0.0,0.0,1.0,5.67,40,2011
61,0.0,High,5.2164,3,11,1.0,0.0,1.0,1.2,45,2011
62,0.0,High,20.878,5,80,1.0,0.0,1.0,15.67,45,2011
63,0.0,High,12.1692,4,406,1.0,0.0,1.0,18.82,45,2011
64,0.0,Medium,5.58,2,11,1.0,0.0,1.0,0.24,15,2011
65,0.0,Medium,2.7166,2,6,0.0,0.0,1.0,0.33,19,2011
66,0.0,Medium,34.47,5,115,0.0,0.0,1.0,8.23,24,2011
67,0.0,Medium,11.8584,4,44,0.0,0.0,1.0,1.65,39,2011
68,0.0,Medium,22.2,3,44,0.0,0.0,1.0,2.77,45,2011
69,0.0,Medium,7.2,3,15,0.0,0.0,1.0,1.15,50,2011
70,0.0,Medium,41.4294,1,143,1.0,0.0,1.0,10.28,52,2011
71,0.0,Medium,101.3488,2,362,0.0,0.0,1.0,26.47,52,2011
72,0.0,Medium,0.2034,1,20,0.0,0.0,1.0,1.27,52,2011
73,0.0,High,6.567,5,20,0.0,0.0,1.0,3.03,3,2011
74,0.0,High,238.653,5,1326,0.0,0.0,1.0,187.65,3,2011
75,0.0,Medium,9.9216,6,25,0.0,0.0,1.0,2.03,13,2011
76,0.0,Medium,3.72,2,15,0.0,0.0,1.0,1.35,13,2011
77,0.0,Medium,1.9024,2,7,0.0,0.0,1.0,0.46,13,2011
78,0.0,High,0.84,2,3,1.0,1.0,0.0,0.19,13,2011
79,0.0,Medium,14.8344,2,53,0.0,0.0,1.0,3.17,14,2011
80,0.0,High,9.072,6,19,0.0,0.0,1.0,2.66,15,2011
